"id","mac_prefix","vendor_short_name","vendor_full_name"
1,"00:00:00","00:00:00","Officially Xerox, but 0:0:0:0:0:0 is more common"
2,"00:00:01","Xerox","Xerox Corporation"
3,"00:00:02","Xerox","Xerox Corporation"
4,"00:00:03","Xerox","Xerox Corporation"
5,"00:00:04","Xerox","Xerox Corporation"
6,"00:00:05","Xerox","Xerox Corporation"
7,"00:00:06","Xerox","Xerox Corporation"
8,"00:00:07","Xerox","Xerox Corporation"
9,"00:00:08","Xerox","Xerox Corporation"
10,"00:00:09","Xerox","Xerox Corporation"
11,"00:00:0A","OmronTateisi","Omron Tateisi Electronics Co."
12,"00:00:0B","Matrix","Matrix Corporation"
13,"00:00:0C","Cisco","Cisco Systems, Inc"
14,"00:00:0D","Fibronics","Fibronics Ltd."
15,"00:00:0E","Fujitsu","Fujitsu Limited"
16,"00:00:0F","Next","Next, Inc."
17,"00:00:10","Sytek","Sytek Inc."
18,"00:00:11","NormerelSyst","Normerel Systemes"
19,"00:00:12","InformationT","Information Technology Limited"
20,"00:00:13","Camex","Camex"
21,"00:00:14","Netronix","Netronix"
22,"00:00:15","Datapoint","Datapoint Corporation"
23,"00:00:16","DuPontPixel","Du Pont Pixel Systems."
24,"00:00:17","Oracle","Oracle"
25,"00:00:18","WebsterCompu","Webster Computer Corporation"
26,"00:00:19","AppliedDynam","Applied Dynamics International"
27,"00:00:1A","AMD","Advanced Micro Devices"
28,"00:00:1B","Novell","Novell, Inc."
29,"00:00:1C","BellTechnolo","Bell Technologies"
30,"00:00:1D","Cabletron","Cabletron Systems, Inc."
31,"00:00:1E","TelsistIndus","Telsist Industria Electronica"
32,"00:00:1F","Telco","Telco Systems, Inc."
33,"00:00:20","Dataindustri","Dataindustrier Diab Ab"
34,"00:00:21","SuremanCompC","Sureman Comp. & Commun. Corp."
35,"00:00:22","VisualTechno","Visual Technology Inc."
36,"00:00:23","AbbIndustria","Abb Industrial Systems Ab"
37,"00:00:24","ConnectAs","Connect As"
38,"00:00:25","Ramtek","Ramtek Corp."
39,"00:00:26","ShaKen","Sha-Ken Co., Ltd."
40,"00:00:27","JapanRadio","Japan Radio Company"
41,"00:00:28","Prodigy","Prodigy Systems Corporation"
42,"00:00:29","ImcNetworks","Imc Networks Corp."
43,"00:00:2A","TrwSeddInp","Trw - Sedd/Inp"
44,"00:00:2B","CrispAutomat","Crisp Automation, Inc"
45,"00:00:2C","Autotote","Autotote Limited"
46,"00:00:2D","Chromatics","Chromatics Inc"
47,"00:00:2E","SocieteEvira","Societe Evira"
48,"00:00:2F","Timeplex","Timeplex Inc."
49,"00:00:30","VgLaboratory","Vg Laboratory Systems Ltd"
50,"00:00:31","QpsxCommunic","Qpsx Communications, Ltd."
51,"00:00:32","Marconi","Marconi plc"
52,"00:00:33","EganMachiner","Egan Machinery Company"
53,"00:00:34","NetworkResou","Network Resources Corporation"
54,"00:00:35","Spectragraph","Spectragraphics Corporation"
55,"00:00:36","Atari","Atari Corporation"
56,"00:00:37","OxfordMetric","Oxford Metrics Limited"
57,"00:00:38","CssLabs","Css Labs"
58,"00:00:39","Toshiba","Toshiba Corporation"
59,"00:00:3A","Chyron","Chyron Corporation"
60,"00:00:3B","iControls","i Controls, Inc."
61,"00:00:3C","Auspex","Auspex Systems Inc."
62,"00:00:3D","Unisys","Unisys"
63,"00:00:3E","Simpact","Simpact"
64,"00:00:3F","Syntrex","Syntrex, Inc."
65,"00:00:40","Applicon","Applicon, Inc."
66,"00:00:41","Ice","Ice Corporation"
67,"00:00:42","MetierManage","Metier Management Systems Ltd."
68,"00:00:43","MicroTechnol","Micro Technology"
69,"00:00:44","Castelle","Castelle Corporation"
70,"00:00:45","FordAerospac","Ford Aerospace & Comm. Corp."
71,"00:00:46","OlivettiNort","Olivetti North America"
72,"00:00:47","NicoletInstr","Nicolet Instruments Corp."
73,"00:00:48","SeikoEpson","Seiko Epson Corporation"
74,"00:00:49","ApricotCompu","Apricot Computers, Ltd"
75,"00:00:4A","AdcCodenollT","Adc Codenoll Technology Corp."
76,"00:00:4B","IclData","Icl Data Oy"
77,"00:00:4C","NEC","NEC Corporation"
78,"00:00:4D","Dci","Dci Corporation"
79,"00:00:4E","Ampex","Ampex Corporation"
80,"00:00:4F","Logicraft","Logicraft, Inc."
81,"00:00:50","Radisys","Radisys Corporation"
82,"00:00:51","HobElectroni","Hob Electronic Gmbh & Co. Kg"
83,"00:00:52","Intrusioncom","Intrusion.com, Inc."
84,"00:00:53","Compucorp","Compucorp"
85,"00:00:54","SchneiderEle","Schneider Electric"
86,"00:00:55","Commissariat","Commissariat A L`Energie Atom."
87,"00:00:56","DrBStruck","Dr. B. Struck"
88,"00:00:57","Scitex","Scitex Corporation Ltd."
89,"00:00:58","RacoreComput","Racore Computer Products Inc."
90,"00:00:59","Hellige","Hellige GMBH"
91,"00:00:5A","SysKonnect","SysKonnect GmbH"
92,"00:00:5B","EltecElektro","Eltec Elektronik Ag"
93,"00:00:5C","TelematicsIn","Telematics International Inc."
94,"00:00:5D","CsTelecom","Cs Telecom"
95,"00:00:5E","ICANNIANADep","ICANN, IANA Department"
96,"00:00:5F","SumitomoElec","Sumitomo Electric Industries, Ltd"
97,"00:00:60","KontronEurop","Kontron Europe GmbH"
98,"00:00:61","GatewayCommu","Gateway Communications"
99,"00:00:62","BullHnInform","Bull Hn Information Systems"
100,"00:00:63","BarcoControl","Barco Control Rooms Gmbh"
101,"00:00:64","YokogawaDigi","Yokogawa Digital Computer Corporation"
102,"00:00:65","NetworkGener","Network General Corporation"
103,"00:00:66","Talaris","Talaris Systems, Inc."
104,"00:00:67","Soft*Rite","Soft * Rite, Inc."
105,"00:00:68","RosemountCon","Rosemount Controls"
106,"00:00:69","ConcordCommu","Concord Communications Inc"
107,"00:00:6A","ComputerCons","Computer Consoles Inc."
108,"00:00:6B","SiliconGraph","Silicon Graphics"
217,"00:00:D8","Novell","Novell, Inc."
109,"00:00:6C","SchneiderEle","Schneider Electric"
110,"00:00:6D","CrayCommunic","Cray Communications, Ltd."
111,"00:00:6E","Artisoft","Artisoft Inc."
112,"00:00:6F","Madge","Madge Ltd."
113,"00:00:70","Hcl","Hcl Limited"
114,"00:00:71","Adra","Adra Systems Inc."
115,"00:00:72","MiniwareTech","Miniware Technology"
116,"00:00:73","Siecor","Siecor Corporation"
117,"00:00:74","Ricoh","Ricoh Company Ltd."
118,"00:00:75","NortelNetwor","Nortel Networks"
119,"00:00:76","AbekasVideoS","Abekas Video System"
120,"00:00:77","Interphase","Interphase Corporation"
121,"00:00:78","Labtam","Labtam Limited"
122,"00:00:79","Networth","Networth Incorporated"
123,"00:00:7A","DanaComputer","Dana Computer Inc."
124,"00:00:7B","ResearchMach","Research Machines"
125,"00:00:7C","Ampere","Ampere Incorporated"
126,"00:00:7D","Oracle","Oracle Corporation"
127,"00:00:7E","Clustrix","Clustrix Corporation"
128,"00:00:7F","LinotypeHell","Linotype-Hell Ag"
129,"00:00:80","CrayCommunic","Cray Communications A/S"
130,"00:00:81","BayNetworks","Bay Networks"
131,"00:00:82","LectraSystem","Lectra Systemes Sa"
132,"00:00:83","TadpoleTechn","Tadpole Technology Plc"
133,"00:00:84","Supernet","Supernet"
134,"00:00:85","Canon","Canon Inc."
135,"00:00:86","Megahertz","Megahertz Corporation"
136,"00:00:87","Hitachi","Hitachi, Ltd."
137,"00:00:88","BrocadeCommu","Brocade Communications Systems LLC"
138,"00:00:89","Cayman","Cayman Systems Inc."
139,"00:00:8A","DatahouseInf","Datahouse Information Systems"
140,"00:00:8B","Infotron","Infotron"
141,"00:00:8C","AlloyCompute","Alloy Computer Products (Australia) Pty Ltd"
142,"00:00:8D","Cryptek","Cryptek Inc."
143,"00:00:8E","SolbourneCom","Solbourne Computer, Inc."
144,"00:00:8F","Raytheon","Raytheon"
145,"00:00:90","Microcom","Microcom"
146,"00:00:91","Anritsu","Anritsu Corporation"
147,"00:00:92","CogentDataTe","Cogent Data Technologies"
148,"00:00:93","Proteon","Proteon Inc."
149,"00:00:94","AsanteTechno","Asante Technologies"
150,"00:00:95","SonyTektroni","Sony Tektronix Corp."
151,"00:00:96","MarconiElect","Marconi Electronics Ltd."
152,"00:00:97","DellEMC","Dell EMC"
153,"00:00:98","Crosscomm","Crosscomm Corporation"
154,"00:00:99","Mtx","Mtx, Inc."
155,"00:00:9A","RcComputer","Rc Computer A/S"
156,"00:00:9B","InformationI","Information International, Inc"
157,"00:00:9C","RolmMilSpecC","Rolm Mil-Spec Computers"
158,"00:00:9D","LocusComputi","Locus Computing Corporation"
159,"00:00:9E","Marli","Marli S.A."
160,"00:00:9F","AmeristarTec","Ameristar Technologies Inc."
161,"00:00:A0","SANYOElectri","SANYO Electric Co., Ltd."
162,"00:00:A1","MarquetteEle","Marquette Electric Co."
163,"00:00:A2","BayNetworks","Bay Networks"
164,"00:00:A3","NetworkAppli","Network Application Technology"
165,"00:00:A4","AcornCompute","Acorn Computers Limited"
166,"00:00:A5","Tattile","Tattile SRL"
167,"00:00:A6","NetworkGener","Network General Corporation"
168,"00:00:A7","NetworkCompu","Network Computing Devices Inc."
169,"00:00:A8","StratusTechn","Stratus Technologies"
170,"00:00:A9","Network","Network Systems Corp."
171,"00:00:AA","Xerox","Xerox Corporation"
172,"00:00:AB","LogicModelin","Logic Modeling Corporation"
173,"00:00:AC","ConwareCompu","Conware Computer Consulting"
174,"00:00:AD","BrukerInstru","Bruker Instruments Inc."
175,"00:00:AE","DassaultElec","Dassault Electronique"
176,"00:00:AF","CanberraIndu","Canberra Industries, Inc."
177,"00:00:B0","RndRadNetwor","Rnd-Rad Network Devices"
178,"00:00:B1","AlphaMicro","Alpha Micro"
179,"00:00:B2","Televideo","Televideo Systems, Inc."
180,"00:00:B3","Cimlinc","Cimlinc Incorporated"
181,"00:00:B4","EdimaxTechno","Edimax Technology Co. Ltd."
182,"00:00:B5","DatabilitySo","Datability Software Sys. Inc."
183,"00:00:B6","MicroMaticRe","Micro-Matic Research"
184,"00:00:B7","DoveComputer","Dove Computer Corporation"
185,"00:00:B8","Seikosha","Seikosha Co., Ltd."
186,"00:00:B9","McdonnellDou","Mcdonnell Douglas Computer Sys"
187,"00:00:BA","Siig","Siig, Inc."
188,"00:00:BB","TriData","Tri-Data"
189,"00:00:BC","RockwellAuto","Rockwell Automation"
190,"00:00:BD","RYOSEI","RYOSEI, Ltd."
191,"00:00:BE","NtiGroup","The Nti Group"
192,"00:00:BF","SymmetricCom","Symmetric Computer Systems"
193,"00:00:C0","WesternDigit","Western Digital Corporation"
194,"00:00:C1","Madge","Madge Ltd."
195,"00:00:C2","InformationP","Information Presentation Tech."
196,"00:00:C3","Harris","Harris Corporation"
197,"00:00:C4","WatersDivMil","Waters Div. Of Millipore"
198,"00:00:C5","Commscope","Commscope"
199,"00:00:C6","Eon","Eon Systems"
200,"00:00:C7","Arix","Arix Corporation"
201,"00:00:C8","AltosCompute","Altos Computer Systems"
202,"00:00:C9","Emulex","Emulex Corporation"
203,"00:00:CA","Commscope","Commscope"
204,"00:00:CB","CompuShackEl","Compu-Shack Electronic Gmbh"
205,"00:00:CC","Densan","Densan Co., Ltd."
206,"00:00:CD","AlliedTelesi","Allied Telesis Labs Ltd"
207,"00:00:CE","Megadata","Megadata Corp."
208,"00:00:CF","HayesMicroco","Hayes Microcomputer Products"
209,"00:00:D0","DevelconElec","Develcon Electronics Ltd."
210,"00:00:D1","Adaptec","Adaptec Incorporated"
211,"00:00:D2","Sbe","Sbe, Inc."
212,"00:00:D3","WangLaborato","Wang Laboratories Inc."
213,"00:00:D4","PureData","Pure Data Ltd."
214,"00:00:D5","MicrognosisI","Micrognosis International"
215,"00:00:D6","PunchLine","Punch Line Holding"
216,"00:00:D7","DartmouthCol","Dartmouth College"
218,"00:00:D9","NipponTelegr","Nippon Telegraph & Telephone"
219,"00:00:DA","Atex","Atex"
220,"00:00:DB","BritishTelec","British Telecommunications plc"
221,"00:00:DC","HayesMicroco","Hayes Microcomputer Products"
222,"00:00:DD","Tcl","Tcl Incorporated"
223,"00:00:DE","Cetia","Cetia"
224,"00:00:DF","BellHowellPu","Bell & Howell Pub Sys Div"
225,"00:00:E0","Quadram","Quadram Corp."
226,"00:00:E1","Grid","Grid Systems"
227,"00:00:E2","AcerTechnolo","Acer Technologies Corp."
228,"00:00:E3","IntegratedMi","Integrated Micro Products Ltd"
229,"00:00:E4","In2GroupeInt","In2 Groupe Intertechnique"
230,"00:00:E5","Sigmex","Sigmex Ltd."
231,"00:00:E6","AptorProduit","Aptor Produits De Comm Indust"
232,"00:00:E7","StarGateTech","Star Gate Technologies"
233,"00:00:E8","AcctonTechno","Accton Technology Corp."
234,"00:00:E9","Isicad","Isicad, Inc."
235,"00:00:EA","Upnod","Upnod Ab"
236,"00:00:EB","MatsushitaCo","Matsushita Comm. Ind. Co. Ltd."
237,"00:00:EC","Microprocess","Microprocess"
238,"00:00:ED","April","April"
239,"00:00:EE","NetworkDesig","Network Designers, Ltd."
240,"00:00:EF","Kti","Kti"
241,"00:00:F0","SamsungElect","Samsung Electronics Co.,Ltd"
242,"00:00:F1","MagnaCompute","Magna Computer Corporation"
243,"00:00:F2","SpiderCommun","Spider Communications"
244,"00:00:F3","GandalfData","Gandalf Data Limited"
245,"00:00:F4","AlliedTelesi","Allied Telesis, Inc."
246,"00:00:F5","DiamondSales","Diamond Sales Limited"
247,"00:00:F6","AppliedMicro","Applied Microsystems Corp."
248,"00:00:F7","YouthKeepEnt","Youth Keep Enterprise Co Ltd"
249,"00:00:F8","DigitalEquip","Digital Equipment Corporation"
250,"00:00:F9","Quotron","Quotron Systems Inc."
251,"00:00:FA","MicrosageCom","Microsage Computer Systems Inc"
252,"00:00:FB","RechnerZurKo","Rechner Zur Kommunikation"
253,"00:00:FC","Meiko","Meiko"
254,"00:00:FD","HighLevelHar","High Level Hardware"
255,"00:00:FE","AnnapolisMic","Annapolis Micro Systems, Inc."
256,"00:00:FF","CamtecElectr","Camtec Electronics Ltd."
257,"00:01:00","EquipTrans","Equip'Trans"
258,"00:01:01","Private","Private"
259,"00:01:02","3Com","3Com"
260,"00:01:03","3Com","3Com"
261,"00:01:04","DVICO","DVICO Co., Ltd."
262,"00:01:05","BeckhoffAuto","Beckhoff Automation GmbH"
263,"00:01:06","TewsDatentec","Tews Datentechnik GmbH"
264,"00:01:07","Leiser","Leiser GmbH"
265,"00:01:08","AVLABTechnol","AVLAB Technology, Inc."
266,"00:01:09","NaganoJapanR","Nagano Japan Radio Co., Ltd."
267,"00:01:0A","CisTechnolog","Cis Technology Inc."
268,"00:01:0B","SpaceCyberLi","Space CyberLink, Inc."
269,"00:01:0C","SystemTalks","System Talks Inc."
270,"00:01:0D","TeledyneDALS","Teledyne DALSA Inc."
271,"00:01:0E","BriLinkTechn","Bri-Link Technologies Co., Ltd"
272,"00:01:0F","BrocadeCommu","Brocade Communications Systems LLC"
273,"00:01:10","GothamNetwor","Gotham Networks"
274,"00:01:11","iDigm","iDigm Inc."
275,"00:01:12","SharkMultime","Shark Multimedia Inc."
276,"00:01:13","Olympus","Olympus Corporation"
277,"00:01:14","KandaTsushin","Kanda Tsushin Kogyo Co., Ltd."
278,"00:01:15","Extratech","Extratech Corporation"
279,"00:01:16","NetspectTech","Netspect Technologies, Inc."
280,"00:01:17","Canal","Canal +"
281,"00:01:18","EZDigital","EZ Digital Co., Ltd."
282,"00:01:19","RTUnet","RTUnet (Australia)"
283,"00:01:1A","HoffmannundB","Hoffmann und Burmeister GbR"
284,"00:01:1B","UnizoneTechn","Unizone Technologies, Inc."
285,"00:01:1C","UniversalTal","Universal Talkware Corporation"
286,"00:01:1D","CentilliumCo","Centillium Communications"
287,"00:01:1E","PrecidiaTech","Precidia Technologies, Inc."
288,"00:01:1F","RCNetworks","RC Networks, Inc."
289,"00:01:20","Oscilloquart","Oscilloquartz S.A."
290,"00:01:21","WatchGuardTe","WatchGuard Technologies, Inc."
291,"00:01:22","TrendCommuni","Trend Communications, Ltd."
292,"00:01:23","SchneiderEle","Schneider Electric Japan Holdings Ltd."
293,"00:01:24","Acer","Acer Incorporated"
294,"00:01:25","YaesuMusen","Yaesu Musen Co., Ltd."
295,"00:01:26","PACLabs","PAC Labs"
296,"00:01:27","OPENNetworks","OPEN Networks Pty Ltd"
297,"00:01:28","EnjoyWeb","EnjoyWeb, Inc."
298,"00:01:29","DFI","DFI Inc."
299,"00:01:2A","TelematicaSi","Telematica Sistems Inteligente"
300,"00:01:2B","TELENET","TELENET Co., Ltd."
301,"00:01:2C","AravoxTechno","Aravox Technologies, Inc."
302,"00:01:2D","KomodoTechno","Komodo Technology"
303,"00:01:2E","PCPartner","PC Partner Ltd."
304,"00:01:2F","TwinheadInte","Twinhead International Corp"
305,"00:01:30","ExtremeNetwo","Extreme Networks Headquarters"
306,"00:01:31","BoschSecurit","Bosch Security Systems, Inc."
307,"00:01:32","DranetzBMI","Dranetz - BMI"
308,"00:01:33","KYOWAElectro","KYOWA Electronic Instruments C"
309,"00:01:34","Selectron","Selectron Systems AG"
310,"00:01:35","KDC","KDC Corp."
311,"00:01:36","CyberTANTech","CyberTAN Technology Inc."
312,"00:01:37","ITFarm","IT Farm Corporation"
313,"00:01:38","XAViTechnolo","XAVi Technologies Corp."
314,"00:01:39","PointMultime","Point Multimedia Systems"
315,"00:01:3A","ShelcadCommu","Shelcad Communications, Ltd."
316,"00:01:3B","Bna","Bna Systems"
317,"00:01:3C","Tiw","Tiw Systems"
318,"00:01:3D","RiscStation","RiscStation Ltd."
319,"00:01:3E","AscomTateco","Ascom Tateco AB"
320,"00:01:3F","NeighborWorl","Neighbor World Co., Ltd."
321,"00:01:40","Sendtek","Sendtek Corporation"
322,"00:01:41","CablePrint","Cable Print"
323,"00:01:42","Cisco","Cisco Systems, Inc"
324,"00:01:43","Cisco","Cisco Systems, Inc"
325,"00:01:44","DellEMC","Dell EMC"
326,"00:01:45","Winsystems","Winsystems, Inc."
327,"00:01:46","TescoControl","Tesco Controls, Inc."
328,"00:01:47","ZhoneTechnol","Zhone Technologies, Inc."
329,"00:01:48","XtraWeb","X-traWeb Inc."
330,"00:01:49","Tdt","Tdt Ag"
331,"00:01:4A","Sony","Sony Corporation"
332,"00:01:4B","EnnovateNetw","Ennovate Networks, Inc."
333,"00:01:4C","BerkeleyProc","Berkeley Process Control"
334,"00:01:4D","ShinKinEnter","Shin Kin Enterprises Co., Ltd"
335,"00:01:4E","WINEnterpris","WIN Enterprises, Inc."
336,"00:01:4F","Adtran","Adtran Inc"
337,"00:01:50","GilatCommuni","Gilat Communications, Ltd."
338,"00:01:51","EnsembleComm","Ensemble Communications"
339,"00:01:52","Chromatek","Chromatek Inc."
340,"00:01:53","ArchtekTelec","Archtek Telecom Corporation"
341,"00:01:54","G3M","G3M Corporation"
342,"00:01:55","PromiseTechn","Promise Technology, Inc."
343,"00:01:56","Firewiredire","Firewiredirect.Com, Inc."
344,"00:01:57","Syswave","Syswave Co., Ltd"
345,"00:01:58","ElectroIndus","Electro Industries/Gauge Tech"
346,"00:01:59","S1","S1 Corporation"
347,"00:01:5A","DigitalVideo","Digital Video Broadcasting"
348,"00:01:5B","ITALTELRFUPI","ITALTEL S.p.A/RF-UP-I"
349,"00:01:5C","Cadant","Cadant Inc."
350,"00:01:5D","Oracle","Oracle Corporation"
351,"00:01:5E","BestTechnolo","Best Technology Co., Ltd."
352,"00:01:5F","DIGITALDESIG","DIGITAL DESIGN GmbH"
353,"00:01:60","ELMEX","ELMEX Co., LTD."
354,"00:01:61","MetaMachineT","Meta Machine Technology"
355,"00:01:62","CygnetTechno","Cygnet Technologies, Inc."
356,"00:01:63","Cisco","Cisco Systems, Inc"
357,"00:01:64","Cisco","Cisco Systems, Inc"
358,"00:01:65","AirSwitch","AirSwitch Corporation"
359,"00:01:66","TcGroup","Tc Group A/S"
360,"00:01:67","HiokiEE","Hioki E.E. Corporation"
361,"00:01:68","Vitana","Vitana Corporation"
362,"00:01:69","CelestixNetw","Celestix Networks Pte Ltd."
363,"00:01:6A","Alitec","Alitec"
364,"00:01:6B","LightChip","LightChip, Inc."
365,"00:01:6C","Foxconn","Foxconn"
366,"00:01:6D","CarrierComm","CarrierComm Inc."
367,"00:01:6E","Conklin","Conklin Corporation"
368,"00:01:6F","Inkel","Inkel Corp."
369,"00:01:70","ESEEmbeddedS","ESE Embedded System Engineer'g"
370,"00:01:71","AlliedDataTe","Allied Data Technologies"
371,"00:01:72","TechnoLand","TechnoLand Co., LTD."
372,"00:01:73","Amcc","Amcc"
373,"00:01:74","CyberOptics","CyberOptics Corporation"
374,"00:01:75","RadiantCommu","Radiant Communications Corp."
375,"00:01:76","OrientSilver","Orient Silver Enterprises"
376,"00:01:77","Edsl","Edsl"
377,"00:01:78","MARGI","MARGI Systems, Inc."
378,"00:01:79","WirelessTech","Wireless Technology, Inc."
379,"00:01:7A","MaipuElectri","Chengdu Maipu Electric Industrial Co., Ltd."
380,"00:01:7B","Heidelberger","Heidelberger Druckmaschinen AG"
381,"00:01:7C","AGE","AG-E GmbH"
382,"00:01:7D","ThermoQuest","ThermoQuest"
383,"00:01:7E","ADTEKSystemS","ADTEK System Science Co., Ltd."
384,"00:01:7F","ExperienceMu","Experience Music Project"
385,"00:01:80","AOpen","AOpen, Inc."
386,"00:01:81","NortelNetwor","Nortel Networks"
387,"00:01:82","DicaTechnolo","Dica Technologies Ag"
388,"00:01:83","AniteTelecom","Anite Telecoms"
389,"00:01:84","SiebMeyer","Sieb & Meyer Ag"
390,"00:01:85","HitachiAloka","Hitachi Aloka Medical, Ltd."
391,"00:01:86","UweDisch","Uwe Disch"
392,"00:01:87","I2SE","I2SE GmbH"
393,"00:01:88","LXCOTechnolo","LXCO Technologies ag"
394,"00:01:89","RefractionTe","Refraction Technology, Inc."
395,"00:01:8A","RoiComputer","Roi Computer Ag"
396,"00:01:8B","NetLinks","NetLinks Co., Ltd."
397,"00:01:8C","MegaVision","Mega Vision"
398,"00:01:8D","AudeSiTechno","AudeSi Technologies"
399,"00:01:8E","Logitec","Logitec Corporation"
400,"00:01:8F","Kenetec","Kenetec, Inc."
401,"00:01:90","SmkM","Smk-M"
402,"00:01:91","SYREDData","SYRED Data Systems"
403,"00:01:92","TexasDigital","Texas Digital Systems"
404,"00:01:93","HanbyulTelec","Hanbyul Telecom Co., Ltd."
405,"00:01:94","CapitalEquip","Capital Equipment Corporation"
406,"00:01:95","SenaTechnolo","Sena Technologies, Inc."
407,"00:01:96","Cisco","Cisco Systems, Inc"
408,"00:01:97","Cisco","Cisco Systems, Inc"
409,"00:01:98","DarimVision","Darim Vision"
410,"00:01:99","HeiSeiElectr","HeiSei Electronics"
411,"00:01:9A","LEUNIG","LEUNIG GmbH"
412,"00:01:9B","KyotoMicroco","Kyoto Microcomputer Co., Ltd."
413,"00:01:9C","Lumentum","Lumentum"
414,"00:01:9D","EControl","E-Control Systems, Inc."
415,"00:01:9E","ESSTechnolog","ESS Technology, Inc."
416,"00:01:9F","ReadyNet","ReadyNet"
417,"00:01:A0","Infinilink","Infinilink Corporation"
418,"00:01:A1","MagTek","Mag-Tek, Inc."
419,"00:01:A2","Logical","Logical Co., Ltd."
420,"00:01:A3","GenesysLogic","Genesys Logic, Inc."
421,"00:01:A4","Microlink","Microlink Corporation"
422,"00:01:A5","Nextcomm","Nextcomm, Inc."
423,"00:01:A6","ScientificAt","Scientific-Atlanta Arcodan A/S"
424,"00:01:A7","UnexTechnolo","Unex Technology Corporation"
425,"00:01:A8","WelltechComp","Welltech Computer Co., Ltd."
426,"00:01:A9","Bmw","Bmw Ag"
427,"00:01:AA","AirspanCommu","Airspan Communications, Ltd."
428,"00:01:AB","MainStreetNe","Main Street Networks"
429,"00:01:AC","SitaraNetwor","Sitara Networks, Inc."
430,"00:01:AD","CoachMasterI","Coach Master International d.b.a. CMI Worldwide, Inc."
431,"00:01:AE","TrexEnterpri","Trex Enterprises"
432,"00:01:AF","ArtesynEmbed","Artesyn Embedded Technologies"
433,"00:01:B0","FulltekTechn","Fulltek Technology Co., Ltd."
434,"00:01:B1","GeneralBandw","General Bandwidth"
435,"00:01:B2","DigitalProce","Digital Processing Systems, Inc."
436,"00:01:B3","PrecisionEle","Precision Electronic Manufacturing"
437,"00:01:B4","Wayport","Wayport, Inc."
438,"00:01:B5","TurinNetwork","Turin Networks, Inc."
439,"00:01:B6","SAEJINT&M","SAEJIN T&M Co., Ltd."
440,"00:01:B7","Centos","Centos, Inc."
441,"00:01:B8","Netsensity","Netsensity, Inc."
442,"00:01:B9","SKF","SKF (U.K.) Limited"
443,"00:01:BA","ICNet","IC-Net, Inc."
444,"00:01:BB","Frequentis","Frequentis"
445,"00:01:BC","Brains","Brains Corporation"
446,"00:01:BD","PetersonElec","Peterson Electro-Musical Products, Inc."
447,"00:01:BE","Gigalink","Gigalink Co., Ltd."
448,"00:01:BF","Teleforce","Teleforce Co., Ltd."
449,"00:01:C0","CompuLab","CompuLab, Ltd."
450,"00:01:C1","VitesseSemic","Vitesse Semiconductor Corporation"
451,"00:01:C2","ARKResearch","ARK Research Corp."
452,"00:01:C3","Acromag","Acromag, Inc."
453,"00:01:C4","NeoWave","NeoWave, Inc."
454,"00:01:C5","SimplerNetwo","Simpler Networks"
455,"00:01:C6","QuarryTechno","Quarry Technologies"
456,"00:01:C7","Cisco","Cisco Systems, Inc"
457,"00:01:C8","ThomasConrad","Thomas Conrad Corp."
458,"00:01:C9","Cisco","Cisco Systems, Inc"
459,"00:01:CA","GeocastNetwo","Geocast Network Systems, Inc."
460,"00:01:CB","Evr","Evr"
461,"00:01:CC","BrandMakerEn","Brand Maker Enabler Inc."
462,"00:01:CD","ARtem","ARtem"
463,"00:01:CE","CustomMicroP","Custom Micro Products, Ltd."
464,"00:01:CF","AlphaDataPar","Alpha Data Parallel Systems, Ltd."
465,"00:01:D0","VitalPoint","VitalPoint, Inc."
466,"00:01:D1","CoNetCommuni","CoNet Communications, Inc."
467,"00:01:D2","inXtron","inXtron, Inc."
468,"00:01:D3","PAXCOMM","PAXCOMM, Inc."
469,"00:01:D4","LeisureTime","Leisure Time, Inc."
470,"00:01:D5","HaedongInfoC","Haedong Info & Comm Co., Ltd"
471,"00:01:D6","manroland","manroland AG"
472,"00:01:D7","F5","F5 Inc."
473,"00:01:D8","Teltronics","Teltronics, Inc."
474,"00:01:D9","Sigma","Sigma, Inc."
475,"00:01:DA","WINCOMM","WINCOMM Corporation"
476,"00:01:DB","FreecomTechn","Freecom Technologies GmbH"
477,"00:01:DC","Activetelco","Activetelco"
478,"00:01:DD","AvailNetwork","Avail Networks"
479,"00:01:DE","Trango","Trango Systems, Inc."
480,"00:01:DF","ISDNCommunic","ISDN Communications, Ltd."
481,"00:01:E0","Fast","Fast Systems, Inc."
482,"00:01:E1","KinpoElectro","Kinpo Electronics, Inc."
483,"00:01:E2","AndoElectric","Ando Electric Corporation"
484,"00:01:E3","Siemens","Siemens AG"
485,"00:01:E4","Sitera","Sitera, Inc."
486,"00:01:E5","Supernet","Supernet, Inc."
487,"00:01:E6","HewlettPacka","Hewlett Packard"
488,"00:01:E7","HewlettPacka","Hewlett Packard"
489,"00:01:E8","Force10Netwo","Force10 Networks, Inc."
490,"00:01:E9","LittonMarine","Litton Marine Systems B.V."
491,"00:01:EA","Cirilium","Cirilium Corp."
492,"00:01:EB","CCOM","C-COM Corporation"
493,"00:01:EC","EricssonGrou","Ericsson Group"
494,"00:01:ED","SETA","SETA Corp."
495,"00:01:EE","ComtrolEurop","Comtrol Europe, Ltd."
496,"00:01:EF","CamtelTechno","Camtel Technology Corp."
497,"00:01:F0","Tridium","Tridium, Inc."
498,"00:01:F1","InnovativeCo","Innovative Concepts, Inc."
